MFACTOR|MFACTORNAME|ST_CASE|VEH_NO|STATE|YEAR|VEHICLECC
0|None|480472|3|48|2017|
0|None|480473|1|48|2017|
0|None|480474|1|48|2017|
0|None|480475|1|48|2017|
0|None|480475|2|48|2017|
0|None|480476|1|48|2017|
0|None|480476|2|48|2017|
0|None|480477|1|48|2017|
0|None|480477|2|48|2017|
0|None|480478|1|48|2017|
0|None|480478|2|48|2017|
0|None|480479|1|48|2017|
0|None|480479|2|48|2017|
0|None|480480|1|48|2017|
0|None|480481|1|48|2017|
0|None|480482|1|48|2017|
0|None|480483|1|48|2017|
0|None|480484|1|48|2017|
0|None|480485|1|48|2017|
0|None|480485|2|48|2017|
0|None|480486|1|48|2017|
0|None|480487|1|48|2017|
0|None|480487|2|48|2017|
0|None|480488|1|48|2017|
0|None|480488|2|48|2017|
0|None|480489|1|48|2017|
0|None|480489|2|48|2017|
0|None|480489|3|48|2017|
0|None|480490|1|48|2017|
0|None|480491|1|48|2017|
0|None|480492|1|48|2017|
0|None|480493|1|48|2017|
0|None|480493|2|48|2017|
0|None|480494|1|48|2017|
0|None|480494|2|48|2017|
0|None|480495|1|48|2017|
3|Steering|480496|1|48|2017|
0|None|480497|1|48|2017|
0|None|480497|2|48|2017|
0|None|480498|1|48|2017|
0|None|480498|2|48|2017|
0|None|480499|1|48|2017|
0|None|480499|2|48|2017|
0|None|480500|1|48|2017|
0|None|480501|1|48|2017|
99|Unknown|480502|1|48|2017|
0|None|480503|1|48|2017|
0|None|480503|2|48|2017|
0|None|480504|1|48|2017|
0|None|480504|2|48|2017|
0|None|480505|1|48|2017|
0|None|480505|2|48|2017|
0|None|480506|1|48|2017|
0|None|480506|2|48|2017|
0|None|480507|1|48|2017|
0|None|480508|1|48|2017|
0|None|480509|1|48|2017|
0|None|480510|1|48|2017|
0|None|480510|2|48|2017|
0|None|480511|1|48|2017|
0|None|480512|1|48|2017|
0|None|480512|2|48|2017|
0|None|480513|1|48|2017|
0|None|480513|2|48|2017|
0|None|480514|1|48|2017|
0|None|480515|1|48|2017|
0|None|480515|2|48|2017|
0|None|480516|1|48|2017|
0|None|480517|1|48|2017|
0|None|480517|2|48|2017|
0|None|480518|1|48|2017|
0|None|480518|2|48|2017|
0|None|480519|1|48|2017|
0|None|480520|1|48|2017|
0|None|480520|2|48|2017|
0|None|480520|3|48|2017|
0|None|480520|4|48|2017|
0|None|480521|1|48|2017|
0|None|480522|1|48|2017|
0|None|480522|2|48|2017|
0|None|480522|3|48|2017|
0|None|480522|4|48|2017|
7|Head Lights|480523|1|48|2017|
0|None|480523|2|48|2017|
0|None|480524|1|48|2017|
0|None|480524|2|48|2017|
0|None|480525|1|48|2017|
0|None|480526|1|48|2017|
0|None|480527|1|48|2017|
0|None|480528|1|48|2017|
0|None|480528|2|48|2017|
0|None|480528|3|48|2017|
0|None|480529|1|48|2017|
0|None|480530|1|48|2017|
0|None|480530|2|48|2017|
0|None|480531|1|48|2017|
0|None|480531|2|48|2017|
0|None|480532|1|48|2017|
0|None|480532|2|48|2017|
0|None|480532|3|48|2017|
0|None|480533|1|48|2017|
0|None|480534|1|48|2017|
0|None|480534|2|48|2017|
0|None|480534|3|48|2017|
0|None|480535|1|48|2017|
0|None|480536|1|48|2017|
0|None|480536|2|48|2017|
0|None|480537|1|48|2017|
0|None|480537|2|48|2017|
0|None|480538|1|48|2017|
1|Tires|480539|1|48|2017|
0|None|480539|2|48|2017|
0|None|480539|3|48|2017|
0|None|480540|1|48|2017|
0|None|480541|1|48|2017|
0|None|480542|1|48|2017|
0|None|480542|2|48|2017|
0|None|480542|3|48|2017|
0|None|480543|1|48|2017|
0|None|480543|2|48|2017|
0|None|480544|1|48|2017|
0|None|480544|2|48|2017|
0|None|480545|1|48|2017|
0|None|480546|1|48|2017|
0|None|480546|2|48|2017|
0|None|480546|3|48|2017|
0|None|480547|1|48|2017|
0|None|480548|1|48|2017|
0|None|480548|2|48|2017|
0|None|480548|3|48|2017|
0|None|480548|4|48|2017|
0|None|480548|5|48|2017|
0|None|480549|1|48|2017|
0|None|480550|1|48|2017|
0|None|480550|2|48|2017|
0|None|480551|1|48|2017|
0|None|480551|2|48|2017|
0|None|480552|1|48|2017|
0|None|480553|1|48|2017|
0|None|480553|2|48|2017|
0|None|480554|1|48|2017|
0|None|480555|1|48|2017|
0|None|480555|2|48|2017|
0|None|480556|1|48|2017|
0|None|480556|2|48|2017|
0|None|480557|1|48|2017|
0|None|480558|1|48|2017|
0|None|480558|2|48|2017|
0|None|480559|1|48|2017|
0|None|480559|2|48|2017|
0|None|480559|3|48|2017|
0|None|480560|1|48|2017|
0|None|480560|2|48|2017|
0|None|480561|1|48|2017|
0|None|480561|2|48|2017|
0|None|480561|3|48|2017|
0|None|480562|1|48|2017|
0|None|480562|2|48|2017|
0|None|480562|3|48|2017|
0|None|480562|4|48|2017|
0|None|480563|1|48|2017|
0|None|480563|2|48|2017|
0|None|480564|1|48|2017|
0|None|480564|2|48|2017|
0|None|480564|3|48|2017|
99|Unknown|480566|1|48|2017|
0|None|480567|1|48|2017|
0|None|480568|1|48|2017|
0|None|480569|1|48|2017|
0|None|480570|1|48|2017|
0|None|480571|1|48|2017|
0|None|480571|2|48|2017|
0|None|480571|3|48|2017|
0|None|480572|1|48|2017|
0|None|480572|2|48|2017|
99|Unknown|480573|1|48|2017|
0|None|480574|1|48|2017|
0|None|480574|2|48|2017|
0|None|480574|3|48|2017|
0|None|480574|4|48|2017|
0|None|480574|5|48|2017|
0|None|480574|6|48|2017|
0|None|480575|1|48|2017|
0|None|480576|1|48|2017|
0|None|480576|2|48|2017|
0|None|480577|1|48|2017|
0|None|480577|2|48|2017|
0|None|480578|1|48|2017|
0|None|480579|1|48|2017|
0|None|480580|1|48|2017|
0|None|480581|1|48|2017|
0|None|480581|2|48|2017|
0|None|480581|3|48|2017|
0|None|480582|1|48|2017|
0|None|480582|2|48|2017|
0|None|480583|1|48|2017|
0|None|480584|1|48|2017|
0|None|480585|1|48|2017|
0|None|480585|2|48|2017|
0|None|480586|1|48|2017|
0|None|480586|2|48|2017|
0|None|480587|1|48|2017|
